Turnhout,Steenweg op Oosthoven,51,,2300
Wachtebeke,Meersstraat,7,,9185
Kontich,Keltenveld,12,,2550
Oudenaarde,Leupegemstraat,25,,9700
Zaventem,Belgicastraat,9,,1930
Oostende,Albatrosstraat,11,,8400
Asse,Dendermondsesteenweg,2,,1730
Waregem,Oude Desselgemstraat,59,,8790
Meulebeke,Veldstraat,38,,8760
Zutendaal,Hoogputstraat,2,,3690
Deinze,Pelikaanlaan,6,,9800
Brugge,Maalse Steenweg,104,,8310
Antwerpen,Minderbroedersrui,34,,2000
Izegem,Hondekensmolenstraat,65,,8870
Heist-op-den-Berg,Oude Liersebaan,9,,2220
Sint-Niklaas,Hospitaalstraat,17,,9100
Kampenhout,Tenierslaan,18,,1910
Lubbeek,Tempelberg,26,,3210
Hoogstraten,Gelmelstraat,71,,2320
Ternat,Vinkenlaan,54,,1742
Brasschaat,Miksebaan,87,,2930
Haaltert,Middelkouter,13,C,9450
Waregem,Sint-Jansstraat,6,,8791
Borgloon,Stationsstraat,28,,3840
Herentals,Ieperstraat,1,,2200
Mechelen,Leuvensesteenweg,174,,2800
Hoeilaart,Overijsesteenweg,29,,1560
Machelen,Vilvoordelaan,25,,1830
Torhout,Bakvoordestraat,8,,8820
Ranst,Lievevrouwestraat,43,,2520
Veurne,Ieperse Steenweg,76,,8630
Ichtegem,Bruggestraat,45,,8480
Antwerpen,Kluizeveldenstraat,107,,2170
Leuven,Hoegaardsestraat,194,,3000
Koksijde,Strandlaan,325,,8670
Ronse,Kruisstraat,18,,9600
Temse,Boonakker,12,,9140
Schilde,Eugeen Dierckxlaan,3,,2970
Antwerpen,Pothoekstraat,79,,2060
Beveren,Melkaderlaan,25,,9120
Tervuren,Katangabinnenhof,8,,3080
Zottegem,Industrielaan,1,,9620
Sint-Truiden,Tulpstraat,24,,3800
Roosdaal,Poelkstraat,38,,1760
Hasselt,Mevrouwhofstraat,42,,3511
Antwerpen,De Neufstraat,7,,2100
Ternat,Watermolenstraat,21,,1742
Nijlen,Nieuwe Bevelsesteenweg,8,,2560
Laakdal,Makelhoeve,2,,2431
Antwerpen,Patriottenstraat,41,,2600
Turnhout,Baron Frans du Fourstraat,46,,2300
Brugge,Baron Ruzettelaan,267,,8200
Herentals,Hoge Weg,4,,2200
Kapellen,Heirust,12,,2950
Knokke-Heist,Duinviooltjesstraat,35,,8300
Aalst,Parklaan,99,,9300
Evergem,Lindenlaan,58,,9940
Brecht,Molenstraat,100,,2960
Zwevegem,Rozenstraat,15,,8552
Vilvoorde,Gezellestraat (Guido),34,,1800
Wuustwezel,Het Looike,7,,2990
Antwerpen,Ruytenburgstraat,62,,2600
Willebroek,Gaston Fromontstraat,47,,2830
Roeselare,Groenestraat,490,,8800
Herk-de-Stad,Keernestraat,82,,3540
Kortrijk,Preshoekstraat,145,,8510
Brugge,Gulden-Peerdenstraat,107,,8310
Herzele,Kauwstraat,31,,9550
Tremelo,Nobelstraat,70,,3128
Kapellen,Heggemuslaan,15,,2950
Geel,Molderbeemdendijk,3,,2440
Mechelen,Heirstraat,35,,2801
Diepenbeek,Pampertstraat,72,,3590
Arendonk,Grotstraat,49,,2370
Lommel,Joost van den Vondelstraat,16,,3920
Landen,Camille Lenaertsstraat,21,,3401
Schoten,Frans De Ceusterlei,12,,2900
Geel,Mezenstraat,7,,2440
Herselt,Limberg,145,,2230
Beringen,Engeldonk,27,,3583
Kortrijk,Beekweg,16,,8510
Roeselare,Appelaarstraat,2,,8800
Antwerpen,Jozef Nellenslei,3,,2100
Genk,Bijlkestraat,85,,3600
Heusden-Zolder,Terlaemenlaan,7,,3550
Meise,Schriekdreef,24,,1861
Nijlen,O.L. Vrouwestraat,5,,2560
Gent,Hofstraat,285,,9000
Mechelen,Duivenstraat,102,,2800
Gavere,Nijverheidsstraat,67,,9890
Essen,Violetlaan,7,,2910
Tongeren,Rechtstraat,38,,3700
Londerzeel,Holle Eikstraat,26,,1840
Borsbeek,Manebruggestraat,290,,2150
Kortessem,Negenbonderstraat,1,,3724
Gent,Beukenlaan,25,,9051
Diepenbeek,Braambessenlaan,10,,3590
Heers,Heurnestraat,84,,3870
Waasmunster,Maretak,424,,9250
Zulte,Modest Huys-laan,60,,9870
Antwerpen,Lange Van Bloerstraat,19,,2060
Berlare,Heidewegel,2,,9290
Brakel,Groenstraat,37,,9660
Zele,Gentsesteenweg,223,,9240
Leuven,Henri Regastraat,43,,3000
Schoten,Asbroeklaan,23,,2900
Lommel,Kanaalstraat,81,,3920
Sint-Gillis-Waas,Spaanskwartier,20,,9170
Lebbeke,Lange Molenstraat,89,,9280
Boortmeerbeek,Goorstraat,10,,3191
Tielt,Pontweg,62,,8700
Herentals,Morkhovenseweg,30,,2200
Koksijde,André Geryllaan,13,,8670
Ninove,Vredelaan,33,,9400
Rotselaar,Langestraat,12,,3111
Dendermonde,Hagewijkpark,69,,9200
Liedekerke,Pamelsestraat,98,,1770
Ranst,Broechemsesteenweg,126,,2520
Zwevegem,Oude Bellegemstraat,31,,8550
Blankenberge,Vrijheidsstraat,1,,8370
Gent,Kortrijksesteenweg,706,,9000
Lubbeek,Prinsenbosweg,2,,3210
Brugge,Bosdreef,7,,8200
Tessenderlo,Schutpenning,1,,3980
Antwerpen,Meyersstraat,46,,2100
Malle,Lange Dreef,34,,2390
Menen,Ijzerhandstraat,1,,8930
Sint-Katelijne-Waver,Stationsstraat,71,,2860
Kortrijk,Izegemsestraat,274,,8500
Gent,Frans van Ryhovelaan,300,,9000
Antwerpen,Rodekruislaan_BE,1,,2600
Lede,Grote Steenweg,225,,9340
Gent,Klaverstraat,1,A,9000
Nieuwerkerken,Nieuwesteenweg,17,A,3850
Grimbergen,Gaston Devoswijk,20,,1850
Beringen,Leliestraat,9,,3582
Aalter,Lovelddreef,29,,9880
Scherpenheuvel-Zichem,Vuggelberg,6,,3270
Hasselt,Carnegielaan,10,,3500
Sint-Niklaas,Hertjen,31,,9100
Sint-Martens-Latem,Sint-Pietersheide,29,,9830
Sint-Gillis-Waas,Polenlaan,50,,9170
Sint-Gillis-Waas,Drieske Nijperstraat,11,,9170
Temse,Godevaert Braemstraat,15,,9140
Temse,Akkerstraat,46,,9140
Maaseik,Merelstraat,2,,3680
Antwerpen,Kerkelei,24,,2610
Ranst,Oude Vaartstraat,9,,2520
Brugge,Julius Dooghelaan,1,,8310
Kortrijk,Oude Aalbeeksestraat,64,,8510
Alken,Laagsimsestraat,31,,3570
Damme,Brieversweg,45,,8340
Lebbeke,Haagstraat,8,,9280
Scherpenheuvel-Zichem,Houwaartstraat,6,,3270
Tremelo,Schrieksebaan,34,,3120
Kortessem,Tongersesteenweg,56,,3723
Dilsen-Stokkem,Dopheidestraat,21,,3650
Kruibeke,Nieuwe Kerkstraat,88,,9150
Oostkamp,Vrijgeweidestraat,36,,8020
Bocholt,Weerterweg,61,,3950
Lubbeek,Roth,12,,3210
Oudenaarde,Markt,27,,9700
Bocholt,Nevenplein,1,,3950
Sint-Niklaas,Dendermondse Steenweg,215,,9100
Lier,David Tenierslaan,95,,2500
Hasselt,Boerenkrijgsingel,28,,3500
Vorselaar,Lovenhoek,1,,2290
Poperinge,Nijverheidslaan,6,,8970
Antwerpen,Bredabaan,140,,2170
Tienen,Lindebaan,41,,3300
Hoeilaart,Zuidlaan,1,,1560
Oostende,Schapenstraat,3,,8400
Gent,Chrysantstraat,18,,9000
Assenede,Ertveldesteenweg,135,A,9968
Oostrozebeke,Gaverstraat,55,,8780
Antwerpen,Primeurstraat,18,,2100
Merelbeke,Lange Streepweg,13,,9820
Mol,Boeretang,214,,2400
Antwerpen,Schapenstraat,10,,2140
Beveren,Peperdam,5,,9120
Sint-Niklaas,Vleeshouwersstraat,67,,9112
Aalst,Kortenhoekstraat,85,,9308
Stekene,Dauwstraat,1,,9190
Aarschot,Steenweg op Sint-Joris-Winge,6,,3200
Zemst,Dijkstraat,36,,1981
Evergem,Langendam,52,,9940
Wichelen,Trompstraat,6,,9260
Destelbergen,Doolaegepark,21,,9070
Opwijk,Ringlaan,207,,1745
Meerhout,Wipstraat,15,,2450
Menen,Schelpenstraat,128,,8930
Geraardsbergen,Gaffelstraat,60,,9500
Izegem,Vlasgaardstraat,37,,8870
Dendermonde,Klinkaertstraat,17,,9200
Blankenberge,de Smet de Naeyerlaan,18,,8370
Maasmechelen,Maj.Berbenlaan,25,,3630
Beveren,Eximius Van de Veldelaan,24,,9120
Genk,Klotbroek,40,,3600
Zomergem,Luitenant Dobbelaerestraat,54,,9930
Oostende,Spalaan,61,,8400
Waregem,Kortrijkseweg,187,,8791
