Bellevue,Chemin de la Chênaie,113,,1293
Chancy,Route de Bellegarde,105,,1284
Plan-les-Ouates,Route de Saconnex-d'Arve,107,A,1228
Collonge-Bellerive,Chemin de la Gabiule,100,,1245
Plan-les-Ouates,Route de Saconnex-d'Arve,162,,1228
Meyrin,Avenue de Mategnin,101,,1217
Cologny,Chemin Frank- THOMAS,104,,1223
Bernex,Rue de Bernex,371,,1233
Onex,Chemin des Verjus,138,,1212
Veyrier,Route de Veyrier,148,F,1234
Onex,Chemin François- CHAVAZ,117,A,1213
Bernex,Route de Soral,124,,1233
Plan-les-Ouates,Route de Saconnex-d'Arve,106,,1228
Vernier,Route de Meyrin,123,,1219
Genthod,Route de Lausanne,347,,1293
Hermance,Route d' Hermance,469,,1248
Pregny-Chambésy,Route de Lausanne,280,,1292
Corsier GE,Route de Thonon,274,,1246
Chancy,Route de Chancy,500,,1284
Satigny,Route du Mandement,115,,1242
Collonge-Bellerive,Route de La-Capite,151,,1222
Genève-Eaux-Vives,Rue des Eaux-Vives,118,,1207
Collex-Bossy,Route de Collex,126,A,1239
Hermance,Route d' Hermance,479,,1248
Russin,Route du Mandement,336,,1281
Jussy,Route de Jussy,294,,1254
Meinier,Route de Meinier,159,,1252
Avully,Route de Chancy,412,,1237
Bernex,Chemin des Curiades,143,,1233
Plan-les-Ouates,Route de Saint-Julien,103,,1228
Vernier,Route de Vernier,185,,1214
Cartigny,Chemin du Moulin-de-Vert,200,,1236
Satigny,Route du Mandement,233,,1242
Anières,Route d' Hermance,378,,1247
Vandoeuvres,Chemin des Hauts-Crêts,114,A,1253
Avusy,Route de Chancy,401,,1236
Satigny,Route du Mandement,110,,1242
Veyrier,Route de Veyrier,140,A,1234
Vandoeuvres,Route de Vandoeuvres,107,,1253
Anières,Route d' Hermance,290,,1247
Bardonnex,Route des Hospitaliers,127,,1257
Satigny,Route du Mandement,243,,1242
Chêne-Bougeries,Route de Florissant,119,B,1231
Bardonnex,Route des Hospitaliers,101,,1257
Choulex,Route de Choulex,141,,1244
Veyrier,Route du Pas-de-l'Echelle,109,,1255
Avusy,Route des Allues,118,,1285
Bellevue,Route de Colovrex,104,,1293
Veyrier,Chemin des Marais,161,C,1255
Bernex,Rue de Bernex,297,,1233
Avusy,Route des Allues,120,,1285
Veyrier,Chemin des Rasses,111,,1255
Corsier GE,Route de Thonon,251,,1246
Plan-les-Ouates,Route de Saint-Julien,197,A,1228
Versoix,Route de Suisse,104,,1290
Anières,Route d' Hermance,341,,1247
Corsier GE,Route d' Hermance,239,A,1246
Genève-Petit-Saconnex,Rue de Lausanne,109,,1202
Anières,Route d' Hermance,381,,1247
Veyrier,Chemin de Chantefleur,101,,1234
Veyrier,Chemin des Bûcherons,104,,1234
Plan-les-Ouates,Route de Saint-Julien,167,D,1228
Corsier GE,Route de Thonon,266,,1246
Versoix,Route de l' Etraz,136,,1290
Collonge-Bellerive,Route d' Hermance,114,A,1245
Collonge-Bellerive,Route de La-Capite,151,A,1222
Onex,Chemin François- CHAVAZ,106,,1213
Meyrin,Chemin du Vieux-Bureau,119,,1217
Hermance,Route de Chevrens,270,,1248
Gy,Route de Gy,167,,1251
Vernier,Route de Canada,102,A,1214
Dardagny,Route du Mandement,539,,1283
Bernex,Promenade de l' Aire,120,,1233
Bardonnex,Route d' Annecy,213,,1257
Chêne-Bougeries,Chemin De-LA-MONTAGNE,152,BIS,1224
Chêne-Bougeries,Route de Malagnou,215,,1224
Lancy,Route du Grand-Lancy,104,A,1212
Vandoeuvres,Chemin des Hauts-Crêts,106,,1253
Bardonnex,Route d' Annecy,237,,1257
Plan-les-Ouates,Route de Saint-Julien,114,,1228
Vernier,Route d' Aïre,175,,1219
Meinier,Route de Meinier,132,,1252
Dardagny,Route du Mandement,548,,1283
Anières,Route d' Hermance,361,,1247
Gy,Route de Gy,128,,1251
Anières,Route de Veigy,123,,1251
