Langenfeld (Rhld.),Am Alten Broich,139,a,40764
Herzogenrath,KirchStr.,195,a,52134
Kleve,Emmericher Str.,226,a,47533
Langenfeld (Rhld.),Opladener Str.,113,a,40764
Nettetal,Kölner Str.,130,a,41334
Aachen,Eilendorfer Str.,159,a,52078
Kerken,DorfStr.,210,a,47647
Gütersloh,SundernStr.,166,a,33335
Herzebrock-Clarholz,Weißes Venn,120,a,33442
Rheinberg,Alpener Str.,329,b,47495
Emmerich am Rhein,HauptStr.,147,a,46446
Vlotho,Salzuflener Str.,114,a,32602
Düren,Binsfelder Str.,203,a,52351
Rheine,Osningstr.,139,b,48429
Marl,BrassertStr.,100,b,45768
Erftstadt,Kölner Ring,131,a,50374
Menden (Sauerl.),Halinger DorfStr.,107,a,58708
Bergisch Gladbach,FerrenbergStr.,134,a,51465
Warendorf,Gröblingen,106,a,48231
Gütersloh,SchledebrückStr.,110,c,33332
Recklinghausen,Bochumer Str.,161,a,45661
Oer-Erkenschwick,Klein-Erkenschwicker-Str.,237,a,45739
Königswinter,Heisterbacher Str.,101,a,53639
Herten,Polsumer Str.,157,d,45701
Emmerich am Rhein,HauptStr.,114,a,46446
Kamp-Lintfort,Bertastr.,145,b,47475
Siegen,WaldStr.,110,c,57080
Bünde,Elsemühlenweg,119,a,32257
Nettetal,Kindt,104,a,41334
Marl,VictoriaStr.,116,d,45772
Emsdetten,Isendorf,132,a,48282
Siegen,EiserntalStr.,166,a,57080
Langenfeld (Rhld.),Alte SchulStr.,116,a,40764
Eschweiler,Aachener Str.,211,a,52249
Kerpen,Dürener Str.,214,b,50171
Kerken,DorfStr.,179,a,47647
Siegburg,HauptStr.,108,b,53721
Herzogenrath,Kirchrather Str.,100,a,52134
Willich,Hausbroicher Str.,307,a,47877
Aachen,Lütticher Str.,559,a,52074
Korschenbroich,Auf den Kempen,107,b,41352
Witten,ArdeyStr.,178,a,58453
Porta Westfalica,PortaStr.,113,f,32457
Oerlinghausen,Welschenweg,105,c,33813
Castrop-Rauxel,VinckeStr.,147,a,44581
Herzogenrath,HauptStr.,148,b,52134
Castrop-Rauxel,VinckeStr.,106,a,44581
Herten,Scherlebecker Str.,312,b,45701
Viersen,UmmerStr.,136,b,41748
Viersen,Hardter Str.,202,a,41748
Herford,StadtholzStr.,123,b,32049
Löhne,Lübbecker Str.,256,a,32584
Hürth,Ernst-Reuter-Str.,135,f,50354
Bergisch Gladbach,HauptStr.,341,b,51465
Würselen,GouleyStr.,122,a,52146
Herten,BahnhofStr.,170,e,45701
Burscheid,HauptStr.,137,g,51399
Aachen,Roermonder Str.,258,a,52072
Kleve,TriftStr.,133,a,47533
Schloß Holte-Stukenbrock,HelleforthStr.,159,a,33758
Moers,Holderberger Str.,133,f,47447
Schwerte,HeideStr.,129,a,58239
Herten,Langenbochumer Str.,254,c,45701
Kamp-Lintfort,Rundstr.,139,e,47475
Aachen,Lütticher Str.,569,a,52074
Overath,Olper Str.,132,a,51491
