Bromma,Kilsbergsvägen,3,,167 36
Bromma,Flygplatsinfarten,51,,168 67
Kista,Hillerödsgränd,19,,164 46
Hägersten,Dialoggatan,20,,126 26
Skarpnäck,Flygfältsgatan,37,,128 30
Stockholm,Kapellgränd,3,,116 25
Hägersten,Mikrofonvägen,28,,126 38
Stockholm,Gotlandsgatan,78,,116 38
Hässelby,Maltesholmsvägen,164,C,165 62
Enskede,Gubbängsvägen,75,,122 44
Stockholm,Kräftriket,3,A,114 19
Bromma,Bäckbornas Väg,15,,168 60
Stockholm,Essingestråket,39,,112 66
Bromma,Lindstigen,7,,168 69
Farsta,Arvikagatan,12,,123 43
Enskede,Gubbängsvägen,14,,122 44
Skärholmen,Lammholmsbacken,75,,127 49
Hässelby,Alkottegränd,5,,165 76
Hägersten,Klensmedsvägen,58,,126 38
Stockholm,Hammarby Allé,19,,120 32
Stockholm,Birger Jarlsgatan,60,,114 29
Bandhagen,Fågelstavägen,18,,124 33
Hägersten,Disavägen,5,,129 43
Hässelby,Blåklocksvägen,66,,165 71
Hässelby,Blomsterkungsvägen,342,,165 77
Stockholm,Narvavägen,30,B,115 22
Stockholm,Maria Trappgränd,7,D,118 20
Bandhagen,Bäverdammsgränd,35,,124 63
Hägersten,Bandyvägen,26,,129 49
Stockholm,Hornsgatan,38,A,118 20
Hägersten,Fogsvansvägen,15,,126 38
Hägersten,Lerkrogsvägen,26,,126 79
Johanneshov,Hallvägen,15,,121 62
Bagarmossen,Laxåvägen,50,,128 44
Hägersten,Boktryckarvägen,41,,129 33
Sköndal,Mollie Faustmans Väg,14,,128 64
Stockholm,Norr Mälarstrand,52,,112 20
Älvsjö,Nyckelpigsvägen,5,,125 57
Bandhagen,Bäverbäcksgränd,30,,124 62
Spånga,Bredbyplan,36,C,163 71
Sköndal,Krokanvägen,37,,128 69
Enskede,Maratonvägen,45,,122 40
Hässelby,Ormängsgatan,30,,165 56
Skärholmen,Lammholmsbacken,198,,127 49
Farsta,Ekshäradsgatan,36,,123 46
Skärholmen,Duvholmsgränd,29,,127 41
Stockholm,Linnégatan,92,,115 23
Spånga,Gränsvägen,268,,163 52
Hässelby,Carl Bondes Väg,54,,165 74
Spånga,Movägen,11,,163 47
Hägersten,Hjortsbergsvägen,74,,129 38
Spånga,Domnarvsgatan,29,,163 53
Hägersten,Lerkrogsvägen,9,,126 79
Stockholm,Grev Magnigatan,11,,114 55
Spånga,Molngränd,8,,163 54
Bromma,Brålunden,19,,167 74
Bromma,Badelundavägen,14,,168 56
Spånga,Hjulsta Backar,12,D,163 65
Bagarmossen,Letstigen,3,,128 48
Spånga,Intagsgränd,63,,163 41
Stockholm,Maria Bangata,4,B,118 63
Hässelby,Olof Jönssons Gränd,1,,165 53
Bagarmossen,Bergsrådsvägen,56,,128 42
Vällingby,Gudmundrågatan,2,,162 53
Johanneshov,Arenaslingan,3,,121 77
Skarpnäck,Broccolivägen,36,,128 39
Skärholmen,Bullerholmsgränd,49,,127 40
Farsta,Budbärarvägen,61,,123 54
Enskede,Estlandsgatan,132,,122 37
Enskede,Getfotsvägen,13,,122 46
Hässelby,Blomsterkungsvägen,212,,165 77
Spånga,Gribbyvägen,61,A,163 55
Stockholm,Mariatorget,8,A,118 48
Stockholm,Markvardsgatan,1,,113 53
Hässelby,Näckrosbrinken,18,,165 71
Stockholm,Adolf Fredriks Kyrkogata,3,,111 37
Årsta,Bråviksvägen,34,,120 52
Spånga,Norregöksvägen,29,,163 52
Stockholm,Arbetargatan,30,B,112 45
Stockholm,Götgatan,13,,116 46
Kista,Nykarlebygatan,6,,164 78
Hässelby,Brändövägen,18,,165 72
Älvsjö,Långbrovägen,67,,125 33
Älvsjö,Krattvägen,19,,125 32
Spånga,Kronvägen,19,B,163 43
Johanneshov,Kalmgatan,21,,121 45
Älvsjö,Gamla Huddingevägen,478,,125 42
Stockholm,Marieviksgatan,49,,117 60
Hässelby,Dvärglinsgränd,36,,165 78
Stockholm,Fyrverkarbacken,15,,112 60
Bromma,Dukvägen,41,,168 73
Skärholmen,Lövsätragränd,15,,127 36
Stockholm,Krukmakargatan,27,,118 51
Bromma,Dukvägen,21,,168 73
Enskede Gård,Odelbergsvägen,69,,120 47
Hägersten,Olof Skötkonungs Väg,32,,126 50
Kista,Dovregatan,2,,164 36
Enskede,Gubbängsvägen,33,,122 44
Skarpnäck,Kanslersvägen,30,,128 38
Älvsjö,Lievägen,38,,125 33
Vällingby,Pajalagatan,49,,162 65
Enskede,Kantarellvägen,21,,122 63
Stockholm,Essingestråket,29,,112 66
Vällingby,Basgränd,119,,162 47
Hässelby,Hässelby Strandväg,44,,165 65
Vällingby,Kanngjutargränd,44,,162 57
Spånga,Kavlegränd,5,,163 41
Kista,Nidarosgatan,9,,164 34
Vällingby,Björnskogsgränd,39,,162 46
Stockholm,Erik Dahlbergsgatan,31,,115 32
Bromma,Klövervägen,17,,167 53
Älvsjö,Knäredsgränd,14,,125 73
Stockholm,Jägmästargatan,10,,115 42
Skärholmen,Aspsätravägen,30,,127 37
Skärholmen,Kråksätrabacken,35,,127 30
Enskededalen,Gamla Tyresövägen,318,,121 33
Johanneshov,Gullmarsplan,6,A,121 40
Bromma,Kvarnbacksvägen,114,A,168 74
Älvsjö,Johan Skyttes Väg,249,,125 34
Älvsjö,Liljestigen,19,,125 53
Stockholm,Midskogsgränd,2,,115 43
Stockholm,Essingekroken,5,A,112 65
Spånga,Gribbyvägen,47,,163 44
Bromma,Doktor Abrahams Väg,56,,168 59
Spånga,Herdevägen,19,A,163 55
Skarpnäck,Horisontvägen,61,,128 34
Årsta,Johanneshovsvägen,151,,120 50
Bromma,Lokattsvägen,57,,167 56
Kista,Pargasgatan,19,,164 71
Skarpnäck,Blomsterbönsvägen,6,,128 39
Vällingby,Jämtlandsgatan,153,A,162 60
Bromma,Karlsbodavägen,17,A,168 67
Spånga,Gränsvägen,298,,163 52
Bandhagen,Gällerstagränd,87,,124 76
Spånga,Cervins Väg,60,,163 41
Stockholm,Olof Palmes Gata,20,D,111 37
Stockholm,Hagagatan,36,A,113 47
Älvsjö,Aklejavägen,24,,125 55
Enskede,Gubbängsvägen,37,,122 44
Stockholm,Hökens Gata,4,,116 46
Enskede,Götaforsvägen,37,,122 66
Enskede,Getfotsvägen,55,,122 46
Skärholmen,Eksätravägen,478,,127 38
Bromma,Orsavägen,38,,167 76
Skärholmen,Falkholmsgränd,11,,127 46
Farsta,Måndagsvägen,13,,123 60
Bromma,Fältmarskalksvägen,11,,167 32
Bromma,Beckomberga Ängsväg,22,,168 63
Bromma,Mariehällsvägen,9,,168 65
Stockholm,Grubbensringen,30,A,112 69
Skärholmen,Bullerholmsgränd,23,,127 40
Skärholmen,Idholmsvägen,122,B,127 47
Stockholm,Jungmansgränd,2,,117 67
Bandhagen,Frövigatan,14,,124 70
Hägersten,Kristallvägen,16,,126 78
Vällingby,Lyckselevägen,14,,162 67
Bromma,Gulsparvsvägen,6,,167 75
Älvsjö,Giggvägen,22,,125 33
Bromma,Barrstigen,37,,167 31
Stockholm,Galärvarvsvägen,8,A,115 21
Skarpnäck,Kanslersvägen,25,,128 38
Bagarmossen,Nidälvsgränd,11,,128 44
Spånga,Järneksvägen,18,,163 47
Stockholm,Högalidsgatan,50,A,117 30
Bromma,Bällstaågatan,26,,168 70
Älvsjö,Flensvägen,20,,125 41
Älvsjö,Långbrodalsvägen,66,,125 57
Vällingby,Grimstagatan,229,,162 58
Älvsjö,Kinnaredsgränd,45,,125 72
Enskededalen,De Gamlas Väg,4,,121 34
Vällingby,Björnmossevägen,57,,162 45
Stockholm,Inedalsgatan,15,,112 33
Hägersten,Backvindeln,57,,129 42
Stockholm,Brunnsgränd,6,,111 30
Hässelby,Backlöksvägen,147,,165 78
Spånga,Gryningsvägen,46,,163 51
Stockholm,Bobergsgatan,81,,115 48
Stockholm,Kungsklippan,10,,112 25
Vällingby,Krister Siöblads Väg,3,,162 72
Spånga,Lindalsvägen,26,,163 46
Hässelby,Granskogsvägen,22,,165 75
Hägersten,Folkparksvägen,184,,126 77
Hägersten,Brådstupsvägen,1,,129 39
Hässelby,Grönbetevägen,88,,165 59
Hässelby,Nässelstigen,7,,165 65
Bandhagen,Gällerstagränd,65,,124 76
Stockholm,Katarina Bangata,26,,116 39
Spånga,Hinderstorps Gränd,1,A,163 72
Skarpnäck,Nämndemansbacken,105,,128 38
Hässelby,Blåklocksvägen,110,,165 71
Bandhagen,Nåttarövägen,29,,124 51
Spånga,Hjulstastråket,13,B,163 63
Stockholm,Essingeringen,72,B,112 64
Bromma,Elias Lönnrots Väg,3,A,168 46
Kista,Imatragatan,234,,164 78
Enskededalen,Grusåsgränd,69,,121 30
Stockholm,Eastmansvägen,12,A,113 61
Stockholm,Lästmakargatan,21,,111 44
Kista,Jyllandsgatan,93,,164 47
Vällingby,Björnidegränd,143,,162 46
Stockholm,Knaperstavägen,11,,117 33
Hägersten,Hjortsbergsvägen,75,,129 38
Stockholm,Kvastmakarbacken,6,B,116 34
Vällingby,Blåvidegränd,6,,162 45
Älvsjö,Johan Skyttes Väg,187,A,125 34
Bromma,Gustav III:s Väg,76,,168 37
Stockholm,Karlbergsvägen,28,,113 27
Enskede,Majrovägen,39,,122 49
Hässelby,Lindaus Väg,3,,165 72
Skärholmen,Lammholmsbacken,52,,127 49
Älvsjö,Herrängsvägen,25,,125 54
Hägersten,Borstbindargränd,14,,129 42
Bromma,Islandsvägen,7,,168 53
Hägersten,Mejselvägen,33,,126 38
Spånga,Krällingegränd,32,,163 62
Spånga,Gränsvägen,25,A,163 52
Farsta,Pepparvägen,9,,123 56
Älvsjö,Kryddlandsvägen,6,,125 33
Stockholm,Markvardsgatan,3,,113 53
Sköndal,Karin Larssons Väg,18,B,128 63
Stockholm,Hårdvallsgatan,11,,115 44
Stockholm,Norra Hamnvägen,16,,115 42
Kista,Jyllandsgatan,77,,164 47
Kista,Långjökelgatan,46,,164 55
Spånga,Bredbyplan,22,,163 71
Bandhagen,Glanshammarsgatan,28,,124 71
Bromma,Holbergsgatan,127,,168 45
Bandhagen,Almnäsvägen,16,,124 30
Älvsjö,Lievägen,51,,125 33
Stockholm,Franzéngatan,49,,112 16
Bromma,Franklandsvägen,29,,168 53
Stockholm,Nybodaringen,8,,117 62
Älvsjö,Långsjövägen,166,D,125 52
Bagarmossen,Fogdevägen,76,A,128 41
Hägersten,Hägerstensvägen,231,,129 35
Spånga,Norregöksvägen,49,,163 52
Vällingby,Funäsgatan,5,,162 74
Bromma,Lunkentusvägen,10,,167 63
Spånga,Aslögsvägen,24,,163 51
Johanneshov,Halmstadsvägen,1,,121 51
Stockholm,Hälsingegatan,11,,113 23
Stockholm,Grev Turegatan,40,,114 38
Älvsjö,Nejlikevägen,26,,125 55
Skärholmen,Gröna Stugans Väg,19,,127 34
Bromma,Bällstavägen,158,,168 59
Vällingby,Daltorpsvägen,56,,162 44
Bandhagen,Forsavägen,12,,124 32
Spånga,Gryningsvägen,36,,163 51
Kista,Jyllandsgatan,83,,164 47
Stockholm,Katarina Bangata,49,,116 39
Stockholm,Eriksbergsgatan,26,,114 30
Stockholm,Drottning Kristinas Väg,34,C,114 28
Enskede,Kyrklundsvägen,11,,122 32
Hägersten,Filvägen,28,,126 38
Enskede,Dorpatsvägen,28,,122 37
Stockholm,Långholmsgatan,20,,117 33
Bromma,Grönviksvägen,199,A,167 76
Älvsjö,Herr Stens Väg,33,,125 30
Stockholm,Borgargatan,6,,117 34
Älvsjö,Herr Göstas Väg,16,,125 30
Spånga,Dagsverksvägen,207,,163 55
Stockholm,Frescativägen,25,,114 18
Stockholm,Essinge Brogata,35,,112 61
Bagarmossen,Ljusnevägen,9,F,128 48
Enskede,Källvägen,42,,122 62
Stockholm,Klara Norra Kyrkogata,36,A,111 22
Vällingby,Daltorpsvägen,50,,162 44
Stockholm,Erstagatan,1,M,116 28
Hässelby,Fagerstrand,41,A,165 71
Stockholm,Mosebacke Torg,14,A,116 20
Älvsjö,Eldsbergagränd,2,,125 73
Älvsjö,Hölövägen,6,,125 40
